Date,Catch the Eye,Content
"
Tuesday, 10 December 2013 - Strasbourg"," Danuta Jazłowiecka, Sari Essayah, Inês Cristina Zuber, Andrej Plenković and Seán Kelly","



 20. European Globalisation Adjustment Fund 2014-2020 ***I (debate)CRE
Report on the proposal for a regulation of the European Parliament and of the Council on the European Globalisation Adjustment Fund (2014 - 2020) [COM(2011)0608 - C7-0319/2011- 2011/0269(COD)] - Committee on Employment and Social Affairs. Rapporteur: Marian Harkin (A7-0005/2013)
Marian Harkin introduced the report.
The following spoke: László Andor (Member of the Commission).
The following spoke: Alda Sousa (rapporteur for the opinion of the BUDG Committee), Jorgo Chatzimarkakis (rapporteur for the opinion of the CONT Committee), Jens Geier (rapporteur for the opinion of the REGI Committee), Luís Paulo Alves (rapporteur for the opinion of the AGRI Committee), Vilija Blinkevičiūtė (rapporteur for the opinion of the FEMM Committee), Edit Bauer, on behalf of the PPE Group, and Frédéric Daerden, on behalf of the S&D Group.
IN THE CHAIR: Anni PODIMATAVice-President
The following spoke: Angelika Werthmann, on behalf of the ALDE Group, Marije Cornelissen, on behalf of the Verts/ALE Group, Derek Roland Clark, on behalf of the EFD Group, Patricia van der Kammen, Non-attached Member, Thomas Mann, Pervenche Berès, Mara Bizzotto, Emer Costello and Regina Bastos.
The following spoke under the 'catch-the-eye' procedure: Danuta Jazłowiecka, Sari Essayah, Inês Cristina Zuber, Andrej Plenković and Seán Kelly.
The following spoke: László Andor and Marian Harkin.
The debate closed.
Vote: minutes of 11.12.2013, item 4.21.

Last updated: 20 February 2014Legal notice"
"
Tuesday, 10 December 2013 - Strasbourg", Sari Essayah,"



 21. ILO Convention concerning decent work for domestic workers *** (debate)CRE
Recommendation on the draft Council decision authorising Member States to ratify, in the interests of the European Union, the Convention concerning decent work for domestic workers, 2011, of the International Labour Organisation (Convention No 189) [11462/2013 - C7-0234/2013- 2013/0085(NLE)] - Committee on Employment and Social Affairs. Rapporteur: Inês Cristina Zuber (A7-0394/2013)
Inês Cristina Zuber introduced the recommendation.
The following spoke: László Andor (Member of the Commission).
The following spoke: Traian Ungureanu, on behalf of the PPE Group, Richard Falbr, on behalf of the S&D Group, Marian Harkin, on behalf of the ALDE Group, Danuta Jazłowiecka and Emer Costello.
The following spoke under the 'catch-the-eye' procedure: Sari Essayah.
The following spoke: László Andor and Inês Cristina Zuber.
The debate closed.
Vote: minutes of 11.12.2013, item 4.3.

Last updated: 20 February 2014Legal notice"
"
Tuesday, 10 December 2013 - Strasbourg", Jaroslav Paška,"



 22. Mandatory automatic exchange of information in the field of taxation * (debate)CRE
Report on the proposal for a Council directive amending Directive 2011/16/EU as regards mandatory automatic exchange of information in the field of taxation [COM(2013)0348 - C7-0200/2013- 2013/0188(CNS)] - Committee on Economic and Monetary Affairs. Rapporteur: George Sabin Cutaş (A7-0376/2013)
George Sabin Cutaş introduced the report.
The following spoke: Joaquín Almunia (Vice-President of the Commission).
The following spoke: Petri Sarvamaa (rapporteur for the opinion of the CONT Committee), Sławomir Nitras, on behalf of the PPE Group, Olle Ludvigsson, on behalf of the S&D Group, Olle Schmidt, on behalf of the ALDE Group, Rui Tavares, on behalf of the Verts/ALE Group, Ivana Maletić and Astrid Lulling.
The following spoke under the 'catch-the-eye' procedure: Jaroslav Paška.
The following spoke: Joaquín Almunia and George Sabin Cutaş.
The debate closed.
Vote: minutes of 11.12.2013, item 4.22.

Last updated: 20 February 2014Legal notice"
"
Tuesday, 10 December 2013 - Strasbourg", Mairead McGuinness and Danuta Jazłowiecka,"



 23. Annual report on EU competition policy (debate)CRE
Report on the Annual Report on EU Competition Policy [2013/2075(INI)] - Committee on Economic and Monetary Affairs. Rapporteur: Ramon Tremosa i Balcells (A7-0357/2013)
Ramon Tremosa i Balcells introduced the report.
The following spoke: Joaquín Almunia (Vice-President of the Commission).
The following spoke: Andreas Schwab, on behalf of the PPE Group, and Antolín Sánchez Presedo, on behalf of the S&D Group.
The following spoke under the 'catch-the-eye' procedure: Mairead McGuinness and Danuta Jazłowiecka.
The following spoke: Joaquín Almunia and Ramon Tremosa i Balcells.
The debate closed.
Vote: minutes of 11.12.2013, item 4.25.

Last updated: 20 February 2014Legal notice"
"
Monday, 9 December 2013 - Strasbourg"," Gabriel Mato Adrover, Tonino Picula, Chris Davies, Peter van Dalen, Bastiaan Belder, Dubravka Šuica, Luís Paulo Alves, Izaskun Bilbao Barandica, Ruža Tomašić, Andrej Plenković, Guido Milana and Oleg Valjalo","



 18. Common Fisheries Policy ***II - Common organisation of the markets in fishery and aquaculture products ***II (debate)CRE
Recommendation for second reading on the Council position at first reading with a view to the adoption of a regulation of the European Parliament and of the Council on the Common Fisheries Policy, amending Council Regulation (EC) No 1954/2003 and (EC) No 1224/2009 and repealing Council Regulations (EC) No 2371/2002, (EC) No 639/2004 and Council Decision (EC) No 2004/585 [12007/3/2013 - C7-0375/2013- 2011/0195(COD)] - Committee on Fisheries. Rapporteur: Ulrike Rodust (A7-0409/2013)
Recommendation for second reading on the Council position at first reading with a view to the adoption of a regulation of the European Parliament and of the Council on the common organisation of the markets in fishery and aquaculture products, amending Council Regulations (EC) No 1184/2006 and (EC) No 1224/2009 and repealing Council Regulation (EC) No 104/2000 [12005/2/2013 - C7-0376/2013- 2011/0194(COD)] - Committee on Fisheries. Rapporteur: Struan Stevenson (A7-0413/2013)
Ulrike Rodust introduced the recommendation for second reading.
IN THE CHAIR: Othmar KARASVice-President
The following spoke: Maria Damanaki (Member of the Commission).
The following spoke: Carmen Fraga Estévez, on behalf of the PPE Group, Antolín Sánchez Presedo, on behalf of the S&D Group, Pat the Cope Gallagher, on behalf of the ALDE Group, Isabella Lövin, on behalf of the Verts/ALE Group, Marek Józef Gróbarczyk, on behalf of the ECR Group, João Ferreira, on behalf of the GUE/NGL Group, John Stuart Agnew, on behalf of the EFD Group, Andrew Henry William Brons, Non-attached Member, Alain Cadec, Göran Färm, Ian Hudghton, James Nicholson, Nikolaos Salavrakos, Maria do Céu Patrão Neves, Isabelle Thomas and Jarosław Leszek Wałęsa.
The following spoke under the 'catch-the-eye' procedure: Gabriel Mato Adrover, Tonino Picula, Chris Davies, Peter van Dalen, Bastiaan Belder, Dubravka Šuica, Luís Paulo Alves, Izaskun Bilbao Barandica, Ruža Tomašić, Andrej Plenković, Guido Milana and Oleg Valjalo.
The following spoke: Maria Damanaki and Ulrike Rodust.
The debate closed.
Vote: minutes of 10.12.2013, item 7.19 and minutes of 10.12.2013, item 7.20.

Last updated: 4 March 2014Legal notice"
"
Monday, 9 December 2013 - Strasbourg"," Romana Jordan, Antolín Sánchez Presedo, Izaskun Bilbao Barandica, Sandrine Bélier, João Ferreira, Andreas Mölzer, Maria do Céu Patrão Neves and Gesine Meissner","



 19. North-East Atlantic: deep-sea stocks and fishing in international waters ***I - Status of the North-East Atlantic mackerel fishery (debate)CRE
Report on the proposal for a regulation of the European Parliament and of the Council establishing specific conditions to fishing for deep-sea stocks in the North-East Atlantic and provisions for fishing in international waters of the North-East Atlantic and repealing Regulation (EC) No 2347/2002 [COM(2012)0371 - C7-0196/2012- 2012/0179(COD)] - Committee on Fisheries. Rapporteur: Kriton Arsenis (A7-0395/2013)
Question for oral answer (O-000113/2013) by Pat the Cope Gallagher, Alain Cadec and Gabriel Mato Adrover, on behalf of the PECH Committee, to the Commission The status of the North-East Atlantic mackerel fishery (2013/2890(RSP)) (B7-0526/2013).
Kriton Arsenis introduced the report.
Pat the Cope Gallagher moved the question.
The following spoke: Maria Damanaki (Member of the Commission).
The following spoke: Anna Rosbach (rapporteur for the opinion of the ENVI Committee), Carmen Fraga Estévez, on behalf of the PPE Group, Guido Milana, on behalf of the S&D Group, Pat the Cope Gallagher, on behalf of the ALDE Group, Jean-Paul Besset, on behalf of the Verts/ALE Group, Marek Józef Gróbarczyk, on behalf of the ECR Group, Martina Anderson, on behalf of the GUE/NGL Group, Gabriel Mato Adrover, Isabelle Thomas, Chris Davies, who also replied to a blue-card question by Struan Stevenson, Struan Stevenson and Jarosław Leszek Wałęsa.
The following spoke under the 'catch-the-eye' procedure: Romana Jordan, Antolín Sánchez Presedo, Izaskun Bilbao Barandica, Sandrine Bélier, João Ferreira, Andreas Mölzer, Maria do Céu Patrão Neves and Gesine Meissner. 
IN THE CHAIR: Anni PODIMATAVice-President
The following spoke under the 'catch-the-eye' procedure: Alain Cadec, Ian Hudghton and Raül Romeva i Rueda.
The following spoke: Maria Damanaki and Kriton Arsenis.
The debate closed.
Vote: minutes of 10.12.2013, item 7.21.

Last updated: 4 March 2014Legal notice"
"
Monday, 9 December 2013 - Strasbourg"," Jarosław Leszek Wałęsa, Sergio Gaetano Cofferati, Izaskun Bilbao Barandica, Gilles Pargneaux, Isabella Lövin, Anna Rosbach, Pino Arlacchi who also replied to a blue-card question by Luis Manuel Capoulas Santos, and Gesine Meissner","



 20. EU-Morocco Fisheries Partnership Agreement: protocol setting out fishing opportunities and financial contributions *** (debate)CRE
Recommendation on the draft Council decision on the conclusion, on behalf of the European Union, of the Protocol between the European Union and the Kingdom of Morocco setting out the fishing opportunities and financial contribution provided for in the Fisheries Partnership Agreement between the European Union and the Kingdom of Morocco [14165/2013 - C7-0415/2013- 2013/0315(NLE)] - Committee on Fisheries. Rapporteur: Carmen Fraga Estévez (A7-0417/2013)
Carmen Fraga Estévez introduced the recommendation.
The following spoke: Maria Damanaki (Member of the Commission).
The following spoke: Cristian Dan Preda (rapporteur for the opinion of the DEVE Committee), Gabriel Mato Adrover, on behalf of the PPE Group, Luis Manuel Capoulas Santos, on behalf of the S&D Group, who also replied to a blue-card question by João Ferreira, Nils Torvalds, on behalf of the ALDE Group, Raül Romeva i Rueda, on behalf of the Verts/ALE Group, Marek Józef Gróbarczyk, on behalf of the ECR Group, João Ferreira, on behalf of the GUE/NGL Group, Lucas Hartong, Non-attached Member, Maria do Céu Patrão Neves who also replied to a blue-card question by João Ferreira, Antolín Sánchez Presedo, Alain Cadec, Jens Nilsson and Guido Milana.
The following spoke under the 'catch-the-eye' procedure: Jarosław Leszek Wałęsa, Sergio Gaetano Cofferati, Izaskun Bilbao Barandica, Gilles Pargneaux, Isabella Lövin, Anna Rosbach, Pino Arlacchi who also replied to a blue-card question by Luis Manuel Capoulas Santos, and Gesine Meissner.
The following spoke: Maria Damanaki, Carmen Fraga Estévez.
The debate closed.
Vote: minutes of 10.12.2013, item 7.4.

Last updated: 4 March 2014Legal notice"
"
Monday, 9 December 2013 - Strasbourg"," Anna Záborská, Sandra Petrović Jakovina, Paul Murphy, Franz Obermayr who also replied to a blue-card question by William (The Earl of) Dartmouth, Alajos Mészáros, María Irigoyen Pérez and Sari Essayah","



 21. Gender aspects of the European framework of national Roma inclusion strategies - Progress made in the implementation of national Roma integration strategies (debate)CRE
Report on Gender Aspects of the European Framework of National Roma Inclusion Strategies [2013/2066(INI)] - Committee on Women's Rights and Gender Equality. Rapporteur: Lívia Járóka (A7-0349/2013)
Question for oral answer (O-000117/2013) by, Juan Fernando López Aguilar, on behalf of the LIBE Committee, to the Commission: Progress made in the implementation of National Roma Integration Strategies (2013/2924(RSP)) (B7-0528/2013)
Lívia Járóka introduced the report.
Kinga Göncz moved the question.
Maria Damanaki (Member of the Commission) spoke.
The following spoke: Edit Bauer (rapporteur for the opinion of the EMPL Committee), Csaba Sógor, on behalf of the PPE Group, Minodora Cliveti, on behalf of the S&D Group, who also replied to a blue-card question by Dimitar Stoyanov, Cecilia Wikström, on behalf of the ALDE Group, Hélène Flautre, on behalf of the Verts/ALE Group, Cornelia Ernst, on behalf of the GUE/NGL Group, and Claudio Morganti, on behalf of the EFD Group.
IN THE CHAIR: Oldřich VLASÁKVice-President
The following spoke: Dimitar Stoyanov, Marie-Thérèse Sanchez-Schmid and Monika Flašíková Beňová.
Hélène Flautre condemned certain things that had been said during the debate, describing these as hate-inspired and racist, and requested that these be referred to the Conference of Presidents (the President said that he would relay her request to the relevant authority).
The following spoke under the 'catch-the-eye' procedure: Anna Záborská, Sandra Petrović Jakovina, Paul Murphy, Franz Obermayr who also replied to a blue-card question by William (The Earl of) Dartmouth, Alajos Mészáros, María Irigoyen Pérez and Sari Essayah.
The following spoke: Maria Damanaki and Lívia Járóka.
Motion for a resolution to wind up the debate tabled under Rule 115(5):
- Juan Fernando López Aguilar, on behalf of the  Committee on Civil Liberties, Justice and Home Affairs, on the progress made in the implementation of the National Roma Integration Strategies (2013/2924(RSP)) (B7-0555/2013)
The debate closed.
Vote: minutes of 10.12.2013, item 9.1 and minutes of 12.12.2013, item 12.16.

Last updated: 4 March 2014Legal notice"
"
Thursday, 21 November 2013 - Strasbourg"," Erik Bánki, Karin Kadenbach, Ruža Tomašić, Mairead McGuinness, who also replied to a blue-card question by Gerben-Jan Gerbrandy, and Theodor Dumitru Stolojan","



 3. Programme for the environment and climate action (LIFE) ***I (debate)CRE
Report on the proposal for a regulation of the European Parliament and of the Council on the establishment of a Programme for the Environment and Climate Action (LIFE) [COM(2011)0874 - C7-0498/2011- 2011/0428(COD)] - Committee on the Environment, Public Health and Food Safety. Rapporteur: Jutta Haug (A7-0294/2012)
Jutta Haug introduced the report.
The following spoke: Janez Potočnik (Member of the Commission).
The following spoke: Richard Seeber, on behalf of the PPE Group, Edite Estrela, on behalf of the S&D Group, Gerben-Jan Gerbrandy, on behalf of the ALDE Group, Margrete Auken, on behalf of the Verts/ALE Group, Julie Girling, on behalf of the ECR Group, João Ferreira, on behalf of the GUE/NGL Group, Franco Bonanini, Non-attached Member, Jolanta Emilia Hibner, Sandrine Bélier, Anna Rosbach, Mikael Gustafsson, Roger Helmer, Seán Kelly and Zbigniew Ziobro.
The following spoke under the 'catch-the-eye' procedure: Erik Bánki, Karin Kadenbach, Ruža Tomašić, Mairead McGuinness, who also replied to a blue-card question by Gerben-Jan Gerbrandy, and Theodor Dumitru Stolojan.
The following spoke: Janez Potočnik and Jutta Haug.
The debate closed.
Vote: minutes of 21.11.2013, item 8.8.

Last updated: 9 January 2014Legal notice"
"
Thursday, 21 November 2013 - Strasbourg"," Seán Kelly, Jaroslav Paška and Franz Obermayr","



 4. Action programme for taxation ***I (debate)CRE
Amended proposal for a regulation of the European parliament and of the Council establishing an action programme for taxation in the European Union for the period 2014-2020 (Fiscalis 2020) and repealing Decision n°1482/2007/EC [COM(2012)0465 - C7-0242/2012- 2011/0341B(COD)] - Committee on Economic and Monetary Affairs. Rapporteur: Theodor Dumitru Stolojan (A7-0399/2012)
Theodor Dumitru Stolojan introduced the report.
The following spoke: Algirdas Šemeta (Member of the Commission).
The following spoke: Hynek Fajmon (rapporteur for the opinion of the BUDG Committee), Krišjānis Kariņš, on behalf of the PPE Group, Liem Hoang Ngoc, on behalf of the S&D Group, Wolf Klinz, on behalf of the ALDE Group, Ruža Tomašić, on behalf of the ECR Group, Nikolaos Chountis, on behalf of the GUE/NGL Group, Mara Bizzotto, on behalf of the EFD Group, and Auke Zijlstra, Non-attached Member, Ivana Maletić, George Sabin Cutaş, Godfrey Bloom, Lara Comi and Mojca Kleva Kekuš.
The following spoke under the 'catch-the-eye' procedure: Seán Kelly, Jaroslav Paška and Franz Obermayr.
The following spoke: Algirdas Šemeta and Theodor Dumitru Stolojan.
The debate closed.
Vote: minutes of 21.11.2013, item 8.9.

Last updated: 9 January 2014Legal notice"
"
Thursday, 21 November 2013 - Strasbourg"," Mairead McGuinness, Inés Ayala Sender and Franz Obermayr","



 5. Presentation of the Court of Auditors' annual report - 2012 (debate)CRE
Presentation of the Court of Auditors' annual report - 2012 (2013/2833(RSP))
Vítor Manuel da Silva Caldeira (President of the European Court of Auditors) made the presentation.
The following spoke: Algirdas Šemeta (Member of the Commission).
The following spoke: Markus Pieper, on behalf of the PPE Group, Jens Geier, on behalf of the S&D Group, and Jan Mulder, on behalf of the ALDE Group.
IN THE CHAIR: Alejo VIDAL-QUADRASVice-President
The following spoke: Bart Staes, on behalf of the Verts/ALE Group, Marta Andreasen, on behalf of the ECR Group, Søren Bo Søndergaard, on behalf of the GUE/NGL Group, Hans-Peter Martin, Non-attached Member, Ingeborg Gräßle, Derek Vaughan, Michael Theurer, Mirosław Piotrowski, Eva Ortiz Vilella, Inés Ayala Sender, Gerben-Jan Gerbrandy, Monica Luisa Macovei, Ivailo Kalfin, Zuzana Brzobohatá, Esther de Lange, Jan Olbrycht, Ivana Maletić, Petri Sarvamaa and Jean-Pierre Audy.
The following spoke under the 'catch-the-eye' procedure: Mairead McGuinness, Inés Ayala Sender and Franz Obermayr.
The following spoke: Algirdas Šemeta, Vítor Manuel da Silva Caldeira and Gerben-Jan Gerbrandy, on the absence of the Council (the President said he would relay this message).
The debate closed.
(The sitting was suspended at 11.30 pending voting time and resumed at 12.00.) 

Last updated: 9 January 2014Legal notice"
"
Thursday, 21 November 2013 - Strasbourg",NA,"



 15. Debate on cases of breaches of human rights, democracy and the rule of law (debate)
(For the titles and authors of the motions for resolutions, see minutes of 19.11.2013, item 3)

Last updated: 9 January 2014Legal notice"
"
Wednesday, 20 November 2013 - Strasbourg"," Seán Kelly, Luís Paulo Alves, Izaskun Bilbao Barandica, Ruža Tomašić, Andrew Henry William Brons and Zofija Mazej Kukovič","



 4. Financing, management and monitoring of the CAP ***I - European Agricultural Fund for Rural Development ***I - Common organisation of the markets in agricultural products ***I - Direct payments to farmers under support schemes within the framework of the CAP ***I - Transitional provisions on support for rural development ***I (debate)CRE
Report on the proposal for a regulation of the European Parliament and of the Council on the financing, management and monitoring of the common agricultural policy [COM(2011)0628 - C7-0341/2011- 2011/0288(COD)] - Committee on Agriculture and Rural Development. Rapporteur: Giovanni La Via (A7-0363/2013)
Report on the proposal for a regulation of the European Parliament and of the Council on support for rural development by the European Agricultural Fund for Rural Development (EAFRD) [COM(2011)0627 - C7-0340/2011- 2011/0282(COD)] - Committee on Agriculture and Rural Development. Rapporteur: Luis Manuel Capoulas Santos (A7-0361/2013)
Report on the proposal for a regulation of the European Parliament and of the Council establishing a common organisation of the markets in agricultural products (Single CMO Regulation) [COM(2011)0626 - C7-0339/2011- 2011/0281(COD)] - Committee on Agriculture and Rural Development. Rapporteur: Michel Dantin (A7-0366/2013)
Report on the proposal for a regulation of the European Parliament and of the Council establishing rules for direct payments to farmers under support schemes within the framework of the common agricultural policy [COM(2011)0625 - C7-0336/2011- 2011/0280(COD)] - Committee on Agriculture and Rural Development. Rapporteur: Luis Manuel Capoulas Santos (A7-0362/2013)
Report on the proposal for a regulation of the European Parliament and of the Council laying down certain transitional provisions on support for rural development by the European Agricultural Fund for Rural Development (EAFRD) and amending Regulation (EU) No [RD] as regards resources and their distribution in respect of the year 2014 and amending Council Regulation (EC) No 73/2009 and Regulations (EU) No [DP], (EU) No [HZ] and (EU) No [sCMO] as regards their application in the year 2014 [COM(2013)0226 - C7-0104/2013- 2013/0117(COD)] - Committee on Agriculture and Rural Development. Rapporteur: Albert Deß (A7-0326/2013)
Giovanni La Via, Luis Manuel Capoulas Santos, Michel Dantin and Albert Deß presented their reports.
The following spoke: Vytautas Leškevičius (President-in-Office of the Council) and Dacian Cioloş (Member of the Commission).
The following spoke: Peter Jahr (rapporteur for the opinion of the BUDG Committee), Esther de Lange (rapporteur for the opinion of the CONT Committee), Tamás Deutsch (rapporteur for the opinion of the CONT Committee), Karin Kadenbach (rapporteur for the opinion of the ENVI Committee), Giommaria Uggias (rapporteur for the opinion of the REGI Committee), Elisabeth Schroedter (rapporteur for the opinion of the REGI Committee), Younous Omarjee (rapporteur for the opinion of the REGI Committee), Mairead McGuinness, on behalf of the PPE Group, Paolo De Castro, on behalf of the S&D Group, George Lyon, on behalf of the ALDE Group, Martin Häusling, on behalf of the Verts/ALE Group, who also replied to a blue-card question by George Lyon, James Nicholson, on behalf of the ECR Group, Patrick Le Hyaric, on behalf of the GUE/NGL Group, John Stuart Agnew, on behalf of the EFD Group, Diane Dodds, Non-attached Member, Elisabeth Köstinger, Wojciech Michał Olejniczak, Marit Paulsen, José Bové, who also replied to a blue-card question by John Stuart Agnew, Janusz Wojciechowski, Alfreds Rubiks, Giancarlo Scottà and Marine Le Pen.
IN THE CHAIR: Miguel Angel MARTÍNEZ MARTÍNEZVice-President
The following spoke: Czesław Adam Siekierski, Iratxe García Pérez, Britta Reimers, Alyn Smith, Julie Girling, João Ferreira, Morten Messerschmidt, Jarosław Kalinowski, Eric Andrieu, Herbert Dorfmann, Ulrike Rodust, Elisabeth Jeggle, Csaba Sándor Tabajdi, Sergio Paolo Francesco Silvestris, Ivari Padar, Mariya Gabriel, Christel Schaldemose, María Auxiliadora Correa Zamora, Spyros Danellis, Sandra Kalniete, Vasilica Viorica Dăncilă, Astrid Lulling, Marc Tarabella, Christa Klaß and Alain Cadec.
The following spoke under the 'catch-the-eye' procedure: Seán Kelly, Luís Paulo Alves, Izaskun Bilbao Barandica, Ruža Tomašić, Andrew Henry William Brons and Zofija Mazej Kukovič.
The following spoke: Dacian Cioloş, Vytautas Leškevičius, Giovanni La Via, Luis Manuel Capoulas Santos, Michel Dantin and Albert Deß.
The debate closed.
Vote: minutes of 20.11.2013, item 8.19, minutes of 20.11.2013, item 8.20, minutes of 20.11.2013, item 8.21, minutes of 20.11.2013, item 8.22 and minutes of 20.11.2013, item 8.23.

Last updated: 9 January 2014Legal notice"
"
Wednesday, 20 November 2013 - Strasbourg",NA,"



 5. Commission work programme 2014 (debate) CRE
Commission statement: Commission work programme 2014 (2013/2838(RSP))
Maroš Šefčovič (Vice-President of the Commission) made the statement.
The following spoke: József Szájer, on behalf of the PPE Group, Enrique Guerrero Salom, on behalf of the S&D Group, Andrew Duff, on behalf of the ALDE Group, Yannick Jadot, on behalf of the Verts/ALE Group, Konrad Szymański, on behalf of the ECR Group, Rolandas Paksas, on behalf of the EFD Group, and Mario Borghezio, Non-attached Member.
The following spoke: Maroš Šefčovič, and Yannick Jadot, commenting on what Maroš Šefčovič had said.
The debate closed.
The following spoke: Dubravka Šuica, mentioning that Croatian veterans were present in the Chamber.
(The sitting was suspended at 11.50, pending the formal sitting, and resumed at 12.10.)
IN THE CHAIR: Martin SCHULZPresident

Last updated: 9 January 2014Legal notice"
"
Wednesday, 20 November 2013 - Strasbourg"," Erik Bánki, Anna Záborská, Jan Kozłowski, Marusya Lyubcheva, Pat the Cope Gallagher, Andrew Henry William Brons, Danuta Jazłowiecka and Miroslav Mikolášik","



 12. Horizon 2020 - framework programme for research and innovation (2014-2020) ***I - Rules for the participation and dissemination in Horizon 2020 ***I - Specific programme implementing Horizon 2020 * - Strategic innovation agenda of the European Institute of Innovation and Technology ***I - European Institute of Innovation and Technology ***I (debate)CRE
Report on the proposal for a regulation of the European Parliament and of the Council establishing Horizon 2020 - The Framework Programme for Research and Innovation (2014-2020) [COM(2011)0809 - C7-0466/2011- 2011/0401(COD)] - Committee on Industry, Research and Energy. Rapporteur: Teresa Riera Madurell (A7-0427/2012)
Report on the proposal for a regulation of the European Parliament and of the Council laying down the rules for the participation and dissemination in 'Horizon 2020 – the Framework Programme for Research and Innovation (2014-2020)' [COM(2011)0810 - C7-0465/2011- 2011/0399(COD)] - Committee on Industry, Research and Energy. Rapporteur: Christian Ehler (A7-0428/2012)
Report on the proposal for a Council decision establishing the Specific Programme Implementing Horizon 2020 - The Framework Programme for Research and Innovation (2014-2020) [COM(2011)0811 - C7-0509/2011- 2011/0402(CNS)] - Committee on Industry, Research and Energy. Rapporteur: Maria Da Graça Carvalho (A7-0002/2013)
Report on the proposal for a decision of the European Parliament and of the Council on the Strategic Innovation Agenda of the European Institute of Innovation and Technology (EIT): the contribution of the EIT to a more innovative Europe [COM(2011)0822 - C7-0462/2011- 2011/0387(COD)] - Committee on Industry, Research and Energy. Rapporteur: Marisa Matias (A7-0422/2012)
Report on the proposal for a regulation of the European Parliament and of the Council amending Regulation (EC) No 294/2008 establishing the European Institute of Innovation and Technology [COM(2011)0817 - C7-0467/2011- 2011/0384(COD)] - Committee on Industry, Research and Energy. Rapporteur: Philippe Lamberts (A7-0403/2012)
Teresa Riera Madurell, Christian Ehler, Maria Da Graça Carvalho, Marisa Matias and Philippe Lamberts presented their reports.
The following spoke: Vytautas Leškevičius (President-in-Office of the Council), Máire Geoghegan-Quinn (Member of the Commission) and Androulla Vassiliou (Member of the Commission).
The following spoke: Bill Newton Dunn (rapporteur for the opinion of the DEVE Committee), Nils Torvalds (rapporteur for the opinion of the BUDG Committee), Nathalie Griesbeck (rapporteur for the opinion of the TRAN Committee), Oldřich Vlasák (rapporteur for the opinion of the REGI Committee), Ioannis A. Tsoukalas (rapporteur for the opinion of the PECH Committee), Emma McClarkin (rapporteur for the opinion of the CULT Committee), Piotr Borys (rapporteur for the opinion of the JURI Committee) and Alajos Mészáros (rapporteur for the opinion of the JURI Committee).
IN THE CHAIR: Anni PODIMATAVice-President
The following spoke: Antigoni Papadopoulou (rapporteur for the opinion of the FEMM Committee), Ioannis A. Tsoukalas, on behalf of the PPE Group, Norbert Glante, on behalf of the S&D Group, Kent Johansson, on behalf of the ALDE Group, Claude Turmes, on behalf of the Verts/ALE Group, Vicky Ford, on behalf of the ECR Group, Marisa Matias, on behalf of the GUE/NGL Group, Roger Helmer, on behalf of the EFD Group, who also replied to a blue-card question by Claude Turmes, Francisco Sosa Wagner, Non-attached Member, Pilar del Castillo Vera, Judith A. Merkies, Jürgen Creutzmann, Margrete Auken, Konrad Szymański, Paul Murphy, Franz Obermayr, who also replied to a blue-card question by Luis Yáñez-Barnuevo García, Angelika Niebler, Patrizia Toia, Philippe De Backer, Evžen Tošenovský, Ewald Stadler, Paul Rübig, Véronique De Keyser, Izaskun Bilbao Barandica, Susy De Martini, Krišjānis Kariņš, who also replied to a blue-card question by Paul Rübig, Marita Ulvskog, Mirosław Piotrowski, Lambert van Nistelrooij and Adam Gierek.
IN THE CHAIR: Roberta ANGELILLIVice-President
The following spoke: Hermann Winkler, Edit Herczog, Seán Kelly, Britta Thomsen, Dubravka Šuica, Peter Skinner, António Fernando Correia de Campos, Monika Panayotova, Jean-Pierre Audy and Zbigniew Ziobro.
The following spoke under the 'catch-the-eye' procedure: Erik Bánki, Anna Záborská, Jan Kozłowski, Marusya Lyubcheva, Pat the Cope Gallagher, Andrew Henry William Brons, Danuta Jazłowiecka and Miroslav Mikolášik.
The following spoke: Máire Geoghegan-Quinn, Androulla Vassiliou, Vytautas Leškevičius, Teresa Riera Madurell, Christian Ehler, Maria Da Graça Carvalho and Marisa Matias.
The debate closed.
Vote: minutes of 21.11.2013, item 6.1, minutes of 21.11.2013, item 8.1, minutes of 21.11.2013, item 8.5, minutes of 21.11.2013, item 8.2 and minutes of 21.11.2013, item 8.3.

Last updated: 9 January 2014Legal notice"
